Base de datos DIPPR del Perry's Chemical Engineers Handbook
Vapour pressures of substances: 
(A) Ps = exp(C1+C2./T+C3.*lnT+C4.*T.^C5)./1000 kPa T in Kelvin         (B)   
TABLE 2-8    Vapor Pressure of Inorganic and Organic Liquids, ln P = C1 + C2/T + C3 ln T + C4 T C5, P in Pa
No.   Name                          Formula      C1        C2          C3           C4       C5    Tmin, K  Tmax, K
 59   m-Cresol                      C7H8O      95.403   -10581     -10.004     4.3032E-18    6    285.39   705.85   A
 60   o-Cresol                      C7H8O      210.88   -13928     -29.483     2.5182E-02    1    304.19   697.55   A
 61   p-Cresol                      C7H8O      118.53   -11957     -13.293     8.6988E-18    6    307.93   704.65   A
 62   Cumene                        C9H12      102.81   -8674.6    -11.922     7.0048E-06    2    177.14   631      A
 63   Cyanogen                      C2N2       81.565   -4808.9    -9.3748     1.3901E-05    2    245.25   400.15   A
 64   Cyclobutane                   C4H8       85.899   -4884.4    -10.883     1.4934E-02    1    182.48   459.93   A
 65   Cyclohexane                   C6H12      51.087   -5226.4    -4.2278     9.7554E-18    6    279.69   553.8    A
 66   Cyclohexanol                  C6H12O     189.19   -14337     -24.148     1.0740E-05    2    296.6    650.1    A
 67   Cyclohexanone                 C6H10O     85.424   -7944.4    -9.2862     4.9957E-06    2    242      653      A
 68   Cyclohexene                   C6H10      88.184   -6624.9    -10.059     8.2566E-06    2    169.67   560.4    A
 69   Cyclopentane                  C5H10      66.341   -5198.5    -6.8103     6.1930E-06    2    179.28   511.7    A
 70   Cyclopentene                  C5H8       67.952   -5187.5    -7.0785     6.8165E-06    2    138.13   507      A
 71   Cyclopropane                  C3H6       40.608   -3179.6    -2.8937     5.6131E-17    6    145.59   398      A
 72   Cyclohexylmercaptan           C6H12S     85.146   -7843.7    -9.2982     5.1788E-06    2    189.64   664      A
 73   Decanal                       C10H20O    201.64   -15133     -26.264     1.4625E-05    2    267.15   674.2    A
 74   Decane                        C10H22     112.73   -9749.6    -13.245     7.1266E-06    2    243.51   617.7    A
 75   Decanoicacid                  C10H20O2   123.36   -14680     -13.474     1.9491E-18    6    304.55   722.1    A
 76   1-Decanol                     C10H22O    156.239  -15212     -18.424     8.5006E-18    6    280.05   688      A
 77   1-Decene                      C10H20     68.401   -7776.9    -6.4637     6.3750E-18    6    206.89   616.6    A
 78   Decylmercaptan                C10H22S    91.91    -10565     -9.5957     5.7028E-18    6    247.56   696      A
 79   1-Decyne                      C10H18     142.94   -11119     -17.818     1.1020E-05    2    229.15   619.85   A
 80   Deuterium                     D2         18.947   -154.47     -0.5723     3.8899E-02    1    18.73    38.35    A
 81   1,1-Dibromoethane             C2H4Br2    62.711   -6503.5    -5.7669     1.0427E-06    2    210.15   628      A
 82   1,2-Dibromoethane             C2H4Br2    43.751   -5587.7    -3.0891     8.2664E-07    2    282.85   650.15   A
 83   Dibromomethane                CH2Br2     86.295   -7010.3    -9.5972     6.7794E-06    2    220.6    611      A
 84   Dibutylether                  C8H18O     72.227   -7537.6    -7.0596     9.1442E-18    6    175.3    584.1    A
 85   m-Dichlorobenzene             C6H4Cl2    53.187   -6827.5    -4.3233     2.3112E-18    6    248.39   683.95   A
 86   o-Dichlorobenzene             C6H4Cl2    77.105   -8111.1    -7.8886     2.7267E-06    2    256.15   705      A
 87   p-Dichlorobenzene             C6H4Cl2    88.31    -8463.4    -9.6308     4.5833E-06    2    326.14   684.75   A
 88   1,1-Dichloroethane            C2H4Cl2    66.611   -5493.1    -6.7301     5.3579E-06    2    176.19   523      A
 89   1,2-Dichloroethane            C2H4Cl2    92.355   -6920.4    -10.651     9.1426E-06    2    237.49   561.6    A
 90   Dichloromethane               CH2Cl2     101.6    -6541.6    -12.247     1.2311E-05    2    178.01   510      A
 91   1,1-Dichloropropane           C3H6Cl2    83.495   -6661.4    -9.2386     6.7652E-06    2    200      560      A
 92   1,2-Dichloropropane           C3H6Cl2    65.955   -6015.6    -6.5509     4.3172E-06    2    172.71   572      A
 93   Diethanolamine                C4H11NO2   106.38   -13714     -11.06      3.2645E-18    6    301.15   736.6    A
 94   Diethylamine                  C4H11N     49.314   -4949      -3.9256     9.1978E-18    6    223.35   496.6    A
 95   Diethylether                  C4H10O     136.9    -6954.3    -19.254     2.4508E-02    1    156.85   466.7    A
 96   Diethylsulfide                C4H10S     46.705   -5177.4    -3.5985     1.7147E-06    2    169.20   557.15   A
 97   1,1-Difluoroethane            C2H4F2     73.491   -4385.9    -8.1851     1.2978E-05    2    154.56   386.44   A
 98   1,2-Difluoroethane            C2H4F2     84.625   -5217.4    -9.871      1.3050E-05    2    215      445      A
 99   Difluoromethane               CH2F2      69.132   -3847.7    -7.5868     1.5065E-05    2    136.95   351.255  A
 100  Di-isopropylamine             C6H15N     462.84   -18227     -73.734     9.2794E-02    1    176.85   523.1    A
 101  Di-isopropylether             C6H14O     41.631   -4668.7    -2.8551     6.3693E-04    1    187.65   500.05   A
 102  Di-isopropylketone            C7H14O     50.868   -6036.5    -4.066      1.1326E-06    2    204.81   576      A
 103  1,1-Dimethoxyethane           C4H10O2    53.637   -5251.2    -4.5649     1.6754E-17    6    159.95   507.8    A
 104  1,2-Dimethoxypropane          C5H12O2    62.097   -6174.9    -5.715      1.2323E-17    6    226.1    543      A
 105  Dimethylacetylene             C4H6       66.592   -4999.8    -6.8387     6.6793E-06    2    240.91   473.2    A
 106  Dimethylamine                 C2H7N      71.738   -5302      -7.3324     6.4200E-17    6    180.96   437.2    A
 107  2,3-Dimethylbutane            C6H14      77.161   -5691.1    -8.501      8.0325E-06    2    145.19   500      A
 108  1,1-Dimethylcyclohexane       C8H16      81.184   -6927      -8.8498     5.4580E-06    2    239.66   591.15   A
 109  cis-1,2-Dimethylcyclohexane   C8H16      78.952   -7075.4    -8.4344     4.5035E-06    2    223.16   606.15   A
 110  trans-1,2-Dimethylcyclohexane C8H16      78.429   -6882.1    -8.4129     4.9831E-06    2    184.99   596.15   A
 111  Dimethyldisulfide             C2H6S2     81.045   -6941.3    -8.777      5.5501E-06    2    188.44   615      A
 112  Dimethylether                 C2H6O      44.704   -3525.6    -3.4444     5.4574E-17    6    131.65   400.1    A
 113  N,N-Dimethylformamide         C3H7NO     82.762   -7955.5    -8.8038     4.2431E-06    2    212.72   649.6    A
