Base de datos Antoine del Perry's Chemical Engineers Handbook
Vapour pressures of substances: 
(A) Ps = exp(C1+C2./T+C3.*lnT+C4.*T.^C5)./1000 kPa T in Kelvin         (B)   
TABLE 2-8    Vapor Pressure of Inorganic and Organic Liquids, ln P = C1 + C2/T + C3 ln T + C4 T C5, P in Pa
No.   Name                          Formula      C1        C2         C3          C4        C5    Tmin, K  Tmax, K
 158  Heptadecane                   C17H36     6.1392   1865.1     -123.95     6.4559E-06    2    438      620      A
 159  Heptanal                      C7H14O     
 160  Heptane                       C7H16      6.02023  1263.91    -56.718     7.2099E-06    2    274      539.2    A
 161  Heptanoicacid                 C7H14O2    
 162  1-Heptanol                    C7H16O     
 163  2-Heptanol                    C7H16O     
 164  3-Heptanone                   C7H14O     
 165  2-Heptanone                   C7H14O    
 166  1-Heptene                     C7H14      6.02677  1258.34    -53.85      2.0091E-17    6    270      537.3    A
 167  Heptylmercaptan               C7H16S     
 168  1-Heptyne                     C7H12      6.0737   1289.5     -56.15      1.4357E-17    6    269      408      A
 169  Hexadecane                    C16H34     156.06   -15015     -18.941     6.8172E-06    2    291.31   723      A
 170  Hexanal                       C6H12O     81.507   -7776.8    -8.4516     1.5143E-17    6    217.15   591      A
 171  Hexane                        C6H14      104.65   -6995.5    -12.702     1.2381E-05    2    177.83   507.6    A
 172  Hexanoicacid                  C6H12O2    114.05   -12332     -12.45      5.6253E-18    6    269.25   660.2    A
 173  1-Hexanol                     C6H14O     135.421  -12288     -15.732     1.2701E-17    6    228.55   611.3    A
 174  2-Hexanol                     C6H14O     109.42   -10449     -12.051     2.6122E-46    16   223      585.3    A
 175  2-Hexanone                    C6H12O     107.44   -8528.6    -12.679     8.4606E-06    2    217.35   587.61   A
 176  3-Hexanone                    C6H12O     73.155   -7242.9    -7.2569     1.2741E-17    6    217.5    582.82   A
 177  1-Hexene                      C6H12      51.024   -4986.4    -4.2463     1.6768E-17    6    133.39   504      A
 178  3-Hexyne                      C6H10      47.091   -5104      -3.6371     5.1621E-04    1    170.05   544      A
 179  Hexylmercaptan                C6H14S     68.467   -7390.5    -6.5456     7.7611E-18    6    192.62   623      A
 180  1-Hexyne                      C6H10      133.2    -7492.9    -18.405     2.2062E-02    1    141.25   516.2    A
 181  2-Hexyne                      C6H10      123.71   -7639      -16.451     1.6495E-02    1    183.65   549      A
 182  Hydrazine                     H4N2       76.858   -7245.2    -8.22       6.1557E-03    1    274.69   653.15   A
 183  Hydrogen                      H2         12.69    -94.896     1.1125      3.2915E-04    2    13.95    33.19    A
 184  Hydrogenbromide               HBr        29.315   -2424.5    -1.1354     2.3806E-18    6    185.15   363.15   A
 185  Hydrogenchloride              HCl        104.27   -3731.2    -15.047     3.1340E-02    1    158.97   324.65   A
 186  Hydrogencyanide               CHN        36.75    -3927.1    -2.1245     3.8948E-17    6    259.83   456.65   A
 187  Hydrogenfluoride              HF         59.544   -4143.8    -6.1764     1.4161E-05    2    189.79   461.15   A
 188  Hydrogensulfide               H2S        85.584   -3839.9    -11.199     1.8848E-02    1    187.68   373.53   A
 189  Isobutyricacid                C4H8O2     110.38   -10540     -12.262     1.4310E-17    6    227.15   605      A
 190  Isopropylamine                C3H9N      136.66   -7201.5    -18.934     2.2255E-02    1    177.95   471.85   A
 191  Malonicacid                   C3H4O4     122.92   -16258     -13.113     2.0609E-18    6    407.95   805      A
 192  Methacrylicacid               C4H6O2     109.53   -10410     -12.289     3.1990E-06    2    288.15   662      A
 193  Methane                       CH4        39.205   -1324.4    -3.4366     3.1019E-05    2    90.69    190.56   A
 194  Methanol                      CH4O       82.718   -6904.5    -8.8622     7.4664E-06    2    175.47   512.5    A
 195  N-Methylacetamide             C3H7NO     79.128   -9523.9    -7.7355     3.1616E-18    6    301.15   718      A
 196  Methylacetate                 C3H6O2     61.267   -5618.6    -5.6473     2.1080E-17    6    175.15   506.55   A
 197  Methylacetylene               C3H4       50.242   -3811.9    -4.2526     6.5326E-17    6    170.45   402.4    A
 198  Methylacrylate                C4H6O2     107.69   -7027.2    -13.916     1.5185E-02    1    196.32   536      A
 199  Methylamine                   CH5N       75.206   -5082.8    -8.0919     8.1130E-06    2    179.69   430.05   A
 200  Methylbenzoate                C8H8O2     84.828   -9334.7    -8.7063     6.1723E-18    6    260.75   693      A
 201  3-Methyl-1,2-butadiene        C5H8       66.575   -5213.4    -6.7693     4.8106E-06    2    159.53   490      A
 202  2-Methylbutane                C5H12      71.308   -4976      -7.7169     8.7271E-06    2    113.25   460.4    A
 203  2-Methylbutanoicacid          C5H10O2    85.383   -9575.4    -8.6164     5.6124E-18    6    193      643      A
 204  3-Methyl-1-butanol            C5H12O     121.85   -10976     -13.869     1.4283E-17    6    155.95   577.2    A
 205  2-Methyl-1-butene             C5H10      93.131   -5525.4    -11.852     1.4205E-02    1    135.58   465      A
 206  2-Methyl-2-butene             C5H10      83.927   -5640.5    -9.6453     1.1121E-05    2    139.39   470      A
 207  2-Methyl-1-butene-3-yne       C5H6       95.453   -5448.8    -12.384     1.5643E-02    1    160.15   492      A
 208  Methylbutylether              C5H12O     60.164   -5621.7    -5.53       1.8629E-17    6    157.48   512.74   A
 209  Methylbutylsulfide            C5H12S     96.344   -7856.3    -11.058     7.3080E-06    2    175.3    593      A
 210  3-Methyl-1-butyne             C5H8       69.459   -5250      -7.1125     7.9289E-17    6    183.45   463.2    A
 211  Methylbutyrate                C5H10O2    71.87    -6885.7    -7.0944     1.4903E-17    6    187.35   554.5    A
 212  Methylchlorosilane            CH5ClSi    95.984   -5401.7    -11.829     1.8092E-05    2    139.05   442      A
 213  Methylcyclohexane             C7H14      92.684   -7080.8    -10.695     8.1366E-06    2    146.58   572.1    A
 214  1-Methylcyclohexanol          C7H14O     134.63   -10682     -16.511     8.4427E-06    2    299.15   686      A
 215  cis-2-Methylcyclohexanol      C7H14O     125.1    -10288     -15.157     1.0918E-05    2    280.15   614      A
